hash count mean4 stdev4 median4 min4 max4 mean8 stdev8 median8 min8 max8
2010-08 36264 2266.5 46.330335634441504 2277.0 2192 2343 141.65625 11.945800451937075 141.0 111 183
2010-09 36173 2260.8125 41.187405159223125 2271.0 2192 2312 141.30078125 11.779192433679333 141.5 109 186
2010-10 36486 2280.375 40.13706983575159 2284.5 2217 2330 142.5234375 11.960197560391457 142.0 109 182
2010-11 41030 2564.375 45.03731092105744 2577.5 2478 2621 160.2734375 12.743696262607397 160.0 124 204
2010-12 40909 2556.8125 45.39165500122242 2554.0 2468 2617 159.80078125 12.95467456710698 159.0 127 204
2011-01 40987 2561.6875 46.981005137714966 2555.0 2468 2637 160.10546875 12.917731325305285 159.0 122 202
2011-02 41187 2574.1875 48.24704492246131 2575.0 2476 2647 160.88671875 12.98703001491867 160.0 123 210
2011-03 41530 2595.625 52.3066379630731 2610.5 2474 2668 162.2265625 13.062778013638361 160.5 125 213
2011-04 41650 2603.125 51.80959732520607 2609.5 2497 2683 162.6953125 13.314441521421157 161.0 127 214
2011-05 41448 2590.5 50.16597452457193 2596.5 2472 2643 161.90625 13.041063451172224 160.0 122 208
2011-06 41888 2618 51.227434056372566 2634.0 2509 2687 163.625 12.97322964800978 162.0 122 209
2011-07 42573 2660.8125 50.47303580873653 2670.5 2533 2737 166.30078125 13.186143271997633 164.5 122 211
2011-08 47311 2956.9375 52.82337166207776 2950.5 2873 3051 184.80859375 13.22781472494459 183.5 144 226
2011-09 47694 2980.875 59.52612346692837 2986.5 2891 3068 186.3046875 13.505530460790636 184.5 154 229
2011-10 48357 3022.3125 62.02491308941916 3039.0 2936 3112 188.89453125 13.710761105524865 189.0 154 230
2011-11 40618 2538.625 61.51714699984062 2537.0 2433 2645 158.6640625 12.986036577651156 158.0 128 195
2011-12 41047 2565.4375 65.20829006920823 2568.0 2453 2685 160.33984375 13.2510957084909 160.0 123 196
2012-01 41611 2600.6875 64.25215828087022 2617.0 2477 2731 162.54296875 13.312577368283101 162.5 128 200
2012-02 42216 2638.5 63.079315151640635 2644.0 2521 2753 164.90625 13.679042763932715 166.0 132 202
2012-03 42341 2646.3125 60.899218744988836 2658.5 2539 2764 165.39453125 13.431997760674822 165.0 131 201
2012-04 42519 2657.4375 61.257620699387274 2662.0 2545 2763 166.08984375 13.150411946041308 166.0 133 200
2012-05 42077 2629.8125 62.57816986577667 2632.0 2512 2748 164.36328125 13.054156253216767 164.0 131 198
2012-06 37732 2358.25 58.30576729621179 2361.0 2267 2465 147.390625 11.80024786220082 147.0 113 178
2012-07 36871 2304.4375 55.825586371752514 2294.5 2231 2411 144.02734375 11.33730164410103 144.0 111 174
2012-08 42220 2638.75 59.98801963725757 2636.5 2537 2745 164.921875 11.898732452844504 165.0 135 196
2012-09 42673 2667.0625 62.59938972346296 2653.0 2556 2758 166.69140625 12.171723939009665 167.0 131 198
2012-10 42142 2633.875 67.07353706939868 2620.0 2509 2742 164.6171875 12.270149941620263 165.0 128 194
2012-11 43363 2710.1875 64.71593577898723 2691.5 2589 2825 169.38671875 12.437141144909406 170.0 133 200
2012-12 43589 2724.3125 61.354216185605374 2710.0 2596 2823 170.26953125 12.30796273374572 171.0 139 202
2013-01 43376 2711 54.183715265751204 2698.0 2601 2791 169.4375 12.024876558617972 170.0 136 199
2013-02 43563 2722.6875 57.17048927331303 2711.5 2609 2808 170.16796875 12.432281779666331 170.0 133 206
2013-03 44039 2752.4375 55.26749581580479 2761.0 2653 2851 172.02734375 12.425529508609923 172.0 139 205
2013-04 44390 2774.375 55.60898645902477 2758.0 2678 2886 173.3984375 12.738254297924568 174.0 140 212
2013-05 43742 2733.875 59.02634475384699 2712.5 2625 2855 170.8671875 12.387853863355176 170.0 134 202
2013-06 43959 2747.4375 50.37728747908128 2740.0 2647 2860 171.71484375 12.452438201536514 172.0 133 202
2013-07 50570 3160.625 56.49654303583539 3142.5 3083 3287 197.5390625 13.227222369836147 197.0 162 238
2013-08 50698 3168.625 57.16628704927407 3158.5 3087 3287 198.0390625 13.319336474505542 199.0 164 238
2013-09 51058 3191.125 59.01575531161149 3176.5 3116 3311 199.4453125 13.535721601648866 200.0 162 246
2013-10 51067 3191.6875 59.82027117750303 3184.5 3092 3320 199.48046875 13.191483750142492 200.0 166 236
